"change_id","conqat_luc","deckard_2_0_luc","iclones_luc","nicad5_luc","simcad_luc","simian_luc","conqat_ltc","deckard_2_0_ltc","iclones_ltc","nicad5_ltc","simcad_ltc","simian_ltc"
"42443","396, 397",,"68578, 68579","484599, 484597","429394, 429393","1021193, 1021192","396, 397",,"68578, 68579","484599, 484597","429394, 429393","1021193, 1021192"
"42444",,,"68578, 68579","484599, 484597","429394, 429393",,,,"68578, 68579","484599, 484597","429394, 429393",
"42475",,"276186, 276185",,,,,,"276182, 276298, 276299, 276184, 276186, 276185, 276188",,,,
"42479",,"276187",,,,,,"276182, 276184, 276187, 276360, 276355, 276356, 276188",,,,
"42492",,,,"484625","429499",,,,,"484625","429499",
"42493","443",,,"484625","429499",,"443",,,"484625","429499",
"42494","443",,,"484625","429499",,"443",,,"484625","429499",
"42495","442",,,"484624","429498",,"442","276365",,"484624","429498",
"42496","442",,,"484624","429498",,"442",,,"484624","429498",
"42525","490",,,"484649","429603",,"490",,,"484649","429603",
"42526","489",,,"484648","429602",,"489",,,"484648","429602",
"42553",,,,,"429775",,,,,,"429775",
"42554",,,,,"429774",,,,,,"429774",
"42556","656",,"68636","484710","429829","1021335","656",,"68636","484710","429829","1021335"
"42557","656",,"68636","484710","429829","1021335","656",,"68636","484710","429829","1021335"
"42558","656",,"68636","484710","429829","1021335","656",,"68636","484710","429829","1021335"
"42559","656",,"68636","484710","429829","1021335","656",,"68636","484710","429829","1021335"
"42560","656",,"68636","484710","429829, 429832, 429831","1021335","656",,"68636","484710","429829, 429832, 429831","1021335"
"42561","656",,"68636",,,"1021335","656",,"68636",,,"1021335"
"42562","656","277207","68636",,,"1021335","656","277207","68636",,,"1021335"
"42563","656","277207","68636","484712","429838","1021335","656","277207","68636","484712","429838","1021335"
"42564","656",,"68636",,,"1021335","656",,"68636",,,"1021335"
"42565","656",,"68636",,,"1021335","656",,"68636",,,"1021335"
"42566","656",,"68636","484716","429844","1021335","656",,"68636","484716","429844","1021335"
"42567","656","277211","68636","484718","429846","1021335","656","277211","68636","484718","429846","1021335"
"42569","655",,"68635","484711","429828","1021334","655",,"68635","484711","429828","1021334"
"42570","655",,"68635","484711","429828, 429830, 429831","1021334","655",,"68635","484711","429828, 429830, 429831","1021334"
"42571","655",,"68635","484711","429828, 429830, 429831","1021334","655",,"68635","484711","429828, 429830, 429831","1021334"
"42572","655",,"68635","484711","429828, 429830, 429831","1021334","655",,"68635","484711","429828, 429830, 429831","1021334"
"42573","655",,"68635","484711","429828, 429830, 429832","1021334","655",,"68635","484711","429828, 429830, 429832","1021334"
"42574","655",,"68635",,,"1021334","655",,"68635",,,"1021334"
"42575","655","277206","68635",,,"1021334","655","277206","68635",,,"1021334"
"42576","655","277206","68635","484713","429837","1021334","655","277206","68635","484713","429837","1021334"
"42577","655",,"68635",,,"1021334","655",,"68635",,,"1021334"
"42578","655",,"68635",,,"1021334","655",,"68635",,,"1021334"
"42579","655",,"68635","484717","429843","1021334","655",,"68635","484717","429843","1021334"
"42580","655","277210","68635","484719","429845","1021334","655","277210","68635","484719","429845","1021334"
"42644","1248",,"68790",,,"1021683","1248",,"68790",,,"1021683"
"42658",,"279949",,,,,,"279949, 279943, 279946, 279944, 279945, 279947",,,,
"42659",,"279949",,,,,,"279949",,,,
"42669",,"279948",,,,,,"279948",,,,
"42678",,"279971",,,,,,"279966, 279969, 279970, 279971, 279973, 279972",,,,
"42679",,"279967, 279971",,,,,,"279966, 279969, 279970, 279967, 279971, 279973, 279972",,,,
"42681","1247",,"68789",,,"1021682","1247",,"68789",,,"1021682"
"42699",,"279967, 279968",,,,,,"279797, 279966, 279969, 279970, 279967, 279968, 279973, 279972",,,,
"42707",,"280449",,,,,,"280449, 280450, 280451",,,,
"42714",,"280448",,,,,,"280448, 280450, 280451, 280546",,,,
"42749",,"280856, 281068",,,,,,"280851, 280850, 280852, 280853, 280855, 280856, 280859, 280857, 280858, 281068, 280860, 280861",,,,
"42750",,"281015",,,,,,"281011, 281012, 281013, 281015, 281074, 281016, 281075, 281076",,,,
"42751",,"281015",,,,,,"281011, 281012, 281013, 281015, 281074, 281016, 281075, 281076",,,,
"42757","1492",,,"485107","431213",,"1492",,,"485107","431213",
"42758","1492",,,"485107","431213",,"1492",,,"485107","431213",
"42759","1491","280854",,"485106","431212",,"1491","280851, 280850, 280852, 280853, 280855, 280854, 280859, 280857, 280858, 280860, 280861",,"485106","431212",
"42760","1491",,,"485106","431212",,"1491",,,"485106","431212",
"42765",,"281014, 281024",,,,,,"280924, 281018, 281011, 281031, 281012, 281013, 281014, 280927, 281033, 281032, 280925, 281019, 281021, 280929, 281016, 281022, 281035, 281023, 281036, 281024",,,,
"42769",,"281066",,,,,,"281044, 281043, 281045, 281066, 281046, 281112, 281114, 281115",,,,
"42780",,"281126",,,,,,"281126",,,,
"42785",,"281127",,,,,,"280953, 281127, 281130",,,,
"42786",,"280967",,,,,,"280962, 280963, 281101, 280964, 280965, 281102, 281103, 280967",,,,
