,,Detection Recall,,,,,
change_id,num_cloned_cochange,conqat,deckard,iclones,nicad5,simcad,simian
43809,3,0,1,0,0,0,0
43810,4,0,0.75,0,0,0.25,0
43811,1,0,0,0,0,1,0
43816,1,0,1,0,0,0,0
43818,1,0,1,0,0,0,0
43894,1,0,0,0,1,0,0
43896,1,0,0,0,1,0,0
43898,1,0,0,0,1,0,0
43900,1,0,0,0,1,0,0
43912,1,0,0,0,1,0,0
43914,1,0,0,0,1,0,0
44021,1,0,0,0,1,0,0
44023,1,0,0,0,1,0,0
44070,1,0,0,1,1,1,0
44071,1,0,0,1,1,1,0
44092,1,0,1,0,0,0,0
44112,17,0,1,0,0,0,0
44113,17,0,1,0,0,0,0
44121,3,0,1,0,0,0,0
44145,9,0,0.89,0,0,0.11,0
44146,8,0,1,0,0,0,0
44147,9,0,0.89,0,0,0.11,0
44148,8,0,1,0,0,0,0
44155,4,0,1,0,0,0,0
44163,14,0,1,0,0,0,0
44164,14,0,1,0,0,0,0
44169,25,0,1,0,0,0,0
44177,1,0,1,0,0,0,0
44178,1,0,1,0,0,0,0
44179,4,0,1,0,0,0,0
44180,104,0,1,0,0,0,0
44181,25,0.4,0.6,0.24,0,0,0
44182,10,1,0,0.6,0,0,0
44183,10,1,0,0.6,0,0,0
44184,10,1,0,0.6,0,0,0
44185,10,1,0,0,0,0,0
44186,10,1,0,0,0,0,0
44187,10,1,0,0.6,0,0,0
44188,10,1,0,0.6,0,0,0
44189,10,1,0,0.6,0,0,0
44190,10,1,0,0.6,0,0,0
44193,10,1,0,0,0,0,0
44194,10,1,0,0,0,0,0
44195,6,0,1,0,0,0,0
44196,6,0,1,0,0,0,0
44203,70,0,1,0,0,0,0
44204,70,0,1,0,0,0,0
44205,30,0,1,0,0,0,0
44206,30,0,1,0,0,0,0
44207,24,0,1,0,0,0,0
44208,24,0,1,0,0,0,0
44209,24,0,1,0,0,0,0
44210,19,0,1,0,0,0,0
44238,3,0,1,0,0,0,0
44239,3,0,1,0,0,0,0
44240,25,0,1,0,0,0,0
44244,69,0,1,0,0,0,0
44245,69,0,1,0,0,0,0
44246,6,0,1,0,0,0,0
44247,6,0,1,0,0,0,0
44248,6,0,1,0,0,0,0
44249,6,0,1,0,0,0,0
44250,10,0,1,0,0,0,0
44256,5,0,1,0,0,0,0
44257,5,0,1,0,0,0,0
44265,15,0,1,0,0,0,0
44266,72,0,1,0,0,0,0
44290,63,0,1,0,0,0,0
44291,63,0,1,0,0,0,0
44292,63,0,1,0,0,0,0
44301,72,0,1,0,0,0,0
44302,72,0,1,0,0,0,0
44306,4,0,1,0,0,0,0
44307,4,0,1,0,0,0,0
44327,36,0,1,0,0,0,0
44328,36,0,1,0,0,0,0
44331,1,0,0,0,1,0,0
44333,1,0,0,0,1,0,0
44359,1,0,1,0,0,0,0
44360,1,0,1,0,0,0,0
44361,2,0,1,0,0,0,0
44380,2,0,1,0,0,0,0
44381,2,0,1,0,0,0,0
44382,4,0,1,0,0,0,0
44383,4,0,1,0,0,0,0
44393,18,0,1,0,0,0,0
44403,2,0,1,0,0,0,0
44404,2,0,1,0,0,0,0
44416,10,0,1,0,0,0,0
