change_id,num_all_cochange,num_cloned_cochange,Percentage of Cloned Cochange
45116,1330,3,0.00
45117,1330,25,0.02
45118,1330,26,0.02
45119,1330,21,0.02
45120,1330,18,0.01
45121,1330,11,0.01
45122,1330,11,0.01
45123,1330,11,0.01
45124,1330,11,0.01
45125,1330,4,0.00
45126,1330,4,0.00
45127,1330,34,0.03
45128,1330,34,0.03
45132,1330,17,0.01
45133,1330,10,0.01
45134,1330,10,0.01
45135,1330,10,0.01
45136,1330,75,0.06
45140,1330,5,0.00
45141,1330,5,0.00
45142,1330,5,0.00
45148,1330,45,0.03
45149,1330,45,0.03
45150,1330,16,0.01
45151,1330,16,0.01
45156,1330,3,0.00
45158,1330,53,0.04
45160,1330,8,0.01
45161,1330,5,0.00
45162,1330,3,0.00
45164,1330,15,0.01
45169,1330,109,0.08
45170,1330,109,0.08
45171,1330,109,0.08
45172,1330,109,0.08
45182,1330,85,0.06
45184,1330,65,0.05
45185,1330,65,0.05
45186,1330,65,0.05
45187,1330,65,0.05
45188,1330,65,0.05
45191,1330,39,0.03
45194,1330,1,0.00
45196,1330,24,0.02
45197,1330,23,0.02
45213,1330,47,0.04
45220,1330,15,0.01
45221,1330,15,0.01
45226,1330,4,0.00
45228,1330,1,0.00
45230,1330,5,0.00
45231,1330,5,0.00
45232,1330,35,0.03
45233,1330,35,0.03
45234,1330,14,0.01
45235,1330,14,0.01
45236,1330,1,0.00
45238,1330,7,0.01
45239,1330,7,0.01
45240,1330,32,0.02
45241,1330,19,0.01
45249,1330,2,0.00
45250,1330,25,0.02
45251,1330,25,0.02
45252,1330,6,0.00
45253,1330,4,0.00
45254,1330,1,0.00
45256,1330,1,0.00
45258,1330,45,0.03
45273,1330,2,0.00
45278,1330,39,0.03
45279,1330,39,0.03
45295,1330,4,0.00
45301,1330,55,0.04
45303,1330,105,0.08
45304,1330,105,0.08
45307,1330,22,0.02
45308,1330,22,0.02
45311,1330,2,0.00
45394,1330,2,0.00
45395,1330,2,0.00
45398,1330,26,0.02
45399,1330,25,0.02
45400,1330,25,0.02
45401,1330,25,0.02
45402,1330,1,0.00
45427,1330,36,0.03
45430,1330,39,0.03
45433,1330,1,0.00
45434,1330,1,0.00
45446,275,1,0.00
45460,275,10,0.04
45464,275,1,0.00
45465,275,1,0.00
45466,275,1,0.00
45467,275,1,0.00
45468,275,1,0.00
45469,275,1,0.00
45470,275,1,0.00
45471,275,1,0.00
45472,275,1,0.00
45473,275,2,0.01
45474,275,1,0.00
45487,275,5,0.02
45488,275,5,0.02
45489,275,5,0.02
45490,275,5,0.02
45491,275,5,0.02
45492,275,5,0.02
45493,275,5,0.02
45494,275,5,0.02
45495,275,5,0.02
45496,275,5,0.02
45499,275,1,0.00
45518,275,1,0.00
45519,275,2,0.01
45520,275,2,0.01
45521,275,2,0.01
45526,275,1,0.00
45529,275,16,0.06
45530,275,2,0.01
45540,275,6,0.02
45541,275,6,0.02
45552,275,4,0.01
45553,275,4,0.01
45554,275,4,0.01
45555,275,4,0.01
45565,275,1,0.00
45567,275,1,0.00
45577,275,2,0.01
45586,275,1,0.00
45589,275,3,0.01
45590,275,3,0.01
45598,275,7,0.03
45599,275,2,0.01
45600,275,2,0.01
45601,275,2,0.01
45611,275,2,0.01
45612,275,2,0.01
45621,275,7,0.03
45622,275,11,0.04
45623,275,11,0.04
45631,275,10,0.04
45632,275,10,0.04
45633,275,4,0.01
45637,275,2,0.01
45639,275,2,0.01
45643,275,2,0.01
45644,275,2,0.01
45646,275,2,0.01
45649,275,2,0.01
45650,275,9,0.03
45651,275,4,0.01
45652,275,1,0.00
45653,275,1,0.00
45654,275,5,0.02
45655,275,1,0.00
45656,275,5,0.02
45657,275,2,0.01
45658,275,7,0.03
45659,275,12,0.04
