change_id,num_all_cochange,num_cloned_cochange,Percentage of Cloned Cochange
45442,22,3,0.14
45443,22,3,0.14
45444,22,3,0.14
45445,22,1,0.05
45451,22,4,0.18
45452,22,4,0.18
45453,22,4,0.18
45454,22,4,0.18
45457,22,4,0.18
45461,22,3,0.14
45462,22,3,0.14
45463,22,6,0.27
45507,9,1,0.11
45514,9,1,0.11
45528,17,1,0.06
45529,17,1,0.06
45530,17,1,0.06
45531,17,1,0.06
45547,45,1,0.02
45551,45,3,0.07
45552,45,3,0.07
45553,45,1,0.02
45554,45,3,0.07
45565,45,3,0.07
45566,45,4,0.09
45567,45,2,0.04
45568,45,2,0.04
45572,45,1,0.02
45573,45,1,0.02
45574,45,2,0.04
45577,45,3,0.07
45578,45,2,0.04
45579,45,2,0.04
45580,45,1,0.02
45581,45,2,0.04
45582,45,2,0.04
45583,2,1,0.50
45584,2,1,0.50
45585,2,2,1.00
45592,5,2,0.40
45602,14,3,0.21
45603,14,2,0.14
45604,14,1,0.07
45605,14,1,0.07
45606,14,2,0.14
45611,14,1,0.07
45612,14,1,0.07
45613,14,1,0.07
45647,84,4,0.05
45648,84,4,0.05
45654,84,8,0.10
45655,84,8,0.10
45656,84,8,0.10
45657,84,8,0.10
45658,84,8,0.10
45659,84,8,0.10
45660,84,14,0.17
45661,84,14,0.17
45662,84,17,0.20
45663,84,17,0.20
45664,84,2,0.02
45671,84,1,0.01
45672,84,1,0.01
45677,84,7,0.08
45678,84,7,0.08
45679,84,14,0.17
45680,84,14,0.17
45681,84,11,0.13
45682,84,11,0.13
45683,84,10,0.12
45684,84,10,0.12
45685,84,6,0.07
45686,84,6,0.07
45687,84,6,0.07
45688,84,6,0.07
45689,84,6,0.07
45690,84,6,0.07
45691,84,6,0.07
45692,84,6,0.07
45693,84,6,0.07
45711,84,1,0.01
45722,84,5,0.06
45752,413,1,0.00
45754,413,1,0.00
45758,413,1,0.00
45768,413,1,0.00
45772,413,6,0.01
45773,413,6,0.01
45774,413,6,0.01
45775,413,6,0.01
45776,413,4,0.01
45777,413,4,0.01
45778,413,4,0.01
45779,413,4,0.01
45780,413,4,0.01
45781,413,4,0.01
45790,413,1,0.00
45795,413,7,0.02
45796,413,7,0.02
45797,413,7,0.02
45822,413,2,0.00
45828,413,1,0.00
45829,413,1,0.00
45844,413,7,0.02
45845,413,7,0.02
45846,413,7,0.02
45871,413,1,0.00
45873,413,1,0.00
45876,413,2,0.00
45878,413,1,0.00
45879,413,2,0.00
45888,413,1,0.00
45890,413,1,0.00
45893,413,1,0.00
45912,413,1,0.00
45913,413,1,0.00
45914,413,3,0.01
45938,413,6,0.01
45939,413,5,0.01
45940,413,6,0.01
45941,413,7,0.02
45942,413,8,0.02
45943,413,8,0.02
45946,413,6,0.01
45947,413,6,0.01
45948,413,6,0.01
45961,413,1,0.00
45962,413,1,0.00
45965,413,1,0.00
45989,413,1,0.00
45996,413,1,0.00
46013,413,11,0.03
46016,413,1,0.00
46022,413,3,0.01
46023,413,3,0.01
46024,413,3,0.01
46112,413,1,0.00
46115,413,1,0.00
46128,413,1,0.00
46132,413,1,0.00
46134,413,4,0.01
46135,413,4,0.01
46139,413,1,0.00
46143,413,5,0.01
46144,413,4,0.01
46162,58,4,0.07
46163,58,9,0.16
46164,58,9,0.16
46165,58,9,0.16
46166,58,9,0.16
46167,58,1,0.02
46170,58,7,0.12
46171,58,7,0.12
46174,58,10,0.17
46175,58,10,0.17
46176,58,10,0.17
46177,58,10,0.17
46178,58,4,0.07
46179,58,10,0.17
46180,58,9,0.16
46181,58,9,0.16
46182,58,9,0.16
46199,58,8,0.14
46202,58,7,0.12
46203,58,7,0.12
46204,58,3,0.05
46205,58,7,0.12
46206,58,9,0.16
46210,58,8,0.14
46211,58,7,0.12
46275,14,1,0.07
46276,14,1,0.07
46304,89,1,0.01
46305,89,1,0.01
46340,89,1,0.01
46341,89,1,0.01
46511,8,1,0.13
46515,8,1,0.13
46549,19,2,0.11
46559,19,2,0.11
46585,55,4,0.07
46586,55,4,0.07
46587,55,4,0.07
46588,55,4,0.07
46589,55,3,0.05
46590,55,3,0.05
46591,55,3,0.05
46592,55,4,0.07
46593,55,4,0.07
46594,55,4,0.07
46595,55,6,0.11
46596,55,2,0.04
46597,55,2,0.04
46598,55,3,0.05
46599,55,3,0.05
46600,55,3,0.05
46601,55,3,0.05
46602,55,3,0.05
46603,55,4,0.07
46604,55,4,0.07
46605,55,4,0.07
46606,55,4,0.07
46607,55,4,0.07
46608,55,4,0.07
46609,55,4,0.07
46610,55,4,0.07
46658,24,1,0.04
46663,24,1,0.04
46664,24,2,0.08
46666,24,1,0.04
46668,24,1,0.04
46682,24,5,0.21
46684,24,1,0.04
46694,24,5,0.21
46695,24,5,0.21
46696,24,4,0.17
46697,24,4,0.17
46701,24,5,0.21
46702,24,5,0.21
46703,24,5,0.21
46769,73,2,0.03
46770,73,2,0.03
46771,73,2,0.03
46772,73,2,0.03
46774,73,1,0.01
46775,73,1,0.01
46776,73,4,0.05
46777,73,3,0.04
46778,73,4,0.05
46779,73,3,0.04
46783,73,4,0.05
46784,73,4,0.05
46785,73,4,0.05
46786,73,4,0.05
46787,73,1,0.01
46791,73,4,0.05
46792,73,4,0.05
46793,73,4,0.05
46794,73,4,0.05
46795,73,1,0.01
46914,52,2,0.04
46922,52,1,0.02
46926,52,1,0.02
46927,52,1,0.02
46953,16,1,0.06
46954,16,1,0.06
46955,16,4,0.25
46956,16,6,0.38
46957,16,4,0.25
46958,16,4,0.25
46959,16,4,0.25
46960,16,7,0.44
46961,16,4,0.25
46962,16,2,0.13
46963,16,2,0.13
46964,16,5,0.31
46965,16,5,0.31
46966,16,7,0.44
46967,16,5,0.31
46968,16,5,0.31
46973,19,1,0.05
46974,19,1,0.05
46975,19,1,0.05
46976,19,4,0.21
46979,19,3,0.16
46980,19,4,0.21
46982,19,3,0.16
46983,19,3,0.16
46987,19,1,0.05
46989,19,2,0.11
47000,39,2,0.05
47001,39,2,0.05
47002,39,2,0.05
47017,39,1,0.03
47023,39,2,0.05
47024,39,2,0.05
47025,39,3,0.08
47026,39,3,0.08
47027,39,3,0.08
47028,39,2,0.05
47029,39,5,0.13
47030,39,1,0.03
47058,8,1,0.13
47064,8,1,0.13
47074,21,1,0.05
47076,21,1,0.05
47082,21,2,0.10
47083,21,2,0.10
47084,21,2,0.10
47085,21,2,0.10
47122,27,1,0.04
47131,20,2,0.10
47132,20,3,0.15
47138,20,2,0.10
47140,20,2,0.10
47144,20,2,0.10
47147,20,2,0.10
47148,20,2,0.10
47151,20,4,0.20
47152,20,4,0.20
47153,20,4,0.20
47154,20,4,0.20
47155,20,4,0.20
47156,20,4,0.20
47157,20,4,0.20
47158,20,4,0.20
47162,20,1,0.05
47166,20,1,0.05
47172,9,3,0.33
47173,9,3,0.33
47174,9,3,0.33
47178,9,3,0.33
47179,9,3,0.33
47180,9,3,0.33
47215,7,2,0.29
47216,7,2,0.29
47220,7,2,0.29
47221,7,2,0.29
47237,155,1,0.01
47262,155,1,0.01
47264,155,3,0.02
47265,155,3,0.02
47266,155,3,0.02
47267,155,3,0.02
47268,155,3,0.02
47270,155,2,0.01
47271,155,6,0.04
47272,155,4,0.03
47273,155,4,0.03
47274,155,4,0.03
47275,155,4,0.03
47276,155,4,0.03
47277,155,4,0.03
47278,155,4,0.03
47279,155,4,0.03
47280,155,4,0.03
47281,155,4,0.03
47282,155,4,0.03
47283,155,4,0.03
47284,155,4,0.03
47285,155,4,0.03
47286,155,4,0.03
47287,155,4,0.03
47288,155,4,0.03
47289,155,4,0.03
47290,155,4,0.03
47291,155,4,0.03
47292,155,5,0.03
47293,155,5,0.03
47294,155,2,0.01
47300,155,1,0.01
47301,155,5,0.03
47302,155,5,0.03
47303,155,5,0.03
47304,155,23,0.15
47305,155,23,0.15
47306,155,23,0.15
47307,155,24,0.15
47308,155,3,0.02
47329,155,1,0.01
47330,155,2,0.01
47331,155,3,0.02
47332,155,6,0.04
47333,155,4,0.03
47334,155,2,0.01
47335,155,2,0.01
47347,155,2,0.01
47359,155,1,0.01
47360,155,1,0.01
47361,155,1,0.01
47362,155,3,0.02
47369,155,1,0.01
47372,155,2,0.01
47374,155,4,0.03
47375,155,3,0.02
47376,155,2,0.01
47377,155,3,0.02
47378,155,3,0.02
47411,6,2,0.33
47412,6,2,0.33
47413,6,2,0.33
47423,10,1,0.10
47424,10,1,0.10
47435,16,1,0.06
47441,16,1,0.06
47469,53,5,0.09
47470,53,5,0.09
47473,53,4,0.08
47474,53,4,0.08
47475,53,4,0.08
47479,53,5,0.09
47480,53,5,0.09
47520,5,1,0.20
47521,5,1,0.20
47595,506,3,0.01
47596,506,9,0.02
47598,506,3,0.01
47599,506,3,0.01
47600,506,3,0.01
47601,506,3,0.01
47602,506,3,0.01
47603,506,5,0.01
47604,506,2,0.00
47607,506,5,0.01
47608,506,6,0.01
47609,506,11,0.02
47612,506,1,0.00
47613,506,3,0.01
47614,506,3,0.01
47615,506,3,0.01
47618,506,10,0.02
47619,506,3,0.01
47621,506,2,0.00
47622,506,3,0.01
47623,506,1,0.00
47624,506,2,0.00
47625,506,1,0.00
47629,506,7,0.01
47630,506,7,0.01
47633,506,4,0.01
47642,506,10,0.02
47643,506,10,0.02
47647,506,14,0.03
47650,506,13,0.03
47651,506,10,0.02
47654,506,10,0.02
47659,506,9,0.02
47667,506,9,0.02
47668,506,9,0.02
47669,506,9,0.02
47671,506,5,0.01
47673,506,1,0.00
47674,506,11,0.02
47675,506,3,0.01
47676,506,1,0.00
47677,506,10,0.02
47679,506,1,0.00
47681,506,1,0.00
47682,506,8,0.02
47683,506,3,0.01
47684,506,6,0.01
47685,506,6,0.01
47689,506,9,0.02
47690,506,9,0.02
47691,506,9,0.02
47693,506,7,0.01
47694,506,1,0.00
47695,506,1,0.00
47697,506,4,0.01
47698,506,4,0.01
47701,506,3,0.01
47704,506,7,0.01
47705,506,18,0.04
47706,506,18,0.04
47708,506,1,0.00
47717,506,7,0.01
47719,506,24,0.05
47720,506,2,0.00
47721,506,7,0.01
47722,506,6,0.01
47723,506,4,0.01
47724,506,5,0.01
47725,506,5,0.01
47726,506,24,0.05
47727,506,9,0.02
47728,506,9,0.02
47729,506,9,0.02
47731,506,1,0.00
47733,506,6,0.01
47734,506,6,0.01
47735,506,6,0.01
47736,506,13,0.03
47737,506,11,0.02
47738,506,10,0.02
47739,506,10,0.02
47740,506,10,0.02
47747,506,2,0.00
47748,506,2,0.00
47756,506,13,0.03
47757,506,16,0.03
47758,506,4,0.01
47764,506,9,0.02
47765,506,9,0.02
47766,506,9,0.02
47775,506,3,0.01
47778,506,10,0.02
47779,506,5,0.01
47780,506,5,0.01
47781,506,5,0.01
47782,506,5,0.01
47784,506,13,0.03
47785,506,13,0.03
47786,506,6,0.01
47787,506,28,0.06
47788,506,12,0.02
47789,506,5,0.01
47790,506,5,0.01
47791,506,5,0.01
47792,506,17,0.03
47793,506,7,0.01
47794,506,10,0.02
47795,506,9,0.02
47809,506,1,0.00
47814,506,2,0.00
47815,506,2,0.00
47817,506,7,0.01
47818,506,2,0.00
47822,506,5,0.01
47824,506,1,0.00
47826,506,10,0.02
47827,506,14,0.03
47829,506,15,0.03
47830,506,4,0.01
47838,506,1,0.00
47869,506,1,0.00
47883,506,1,0.00
47884,506,1,0.00
47885,506,5,0.01
47887,506,1,0.00
47888,506,1,0.00
47889,506,1,0.00
47890,506,1,0.00
47891,506,1,0.00
47920,506,1,0.00
47930,506,1,0.00
47936,506,8,0.02
47938,506,3,0.01
47998,506,5,0.01
48004,506,2,0.00
48005,506,2,0.00
48006,506,2,0.00
48007,506,1,0.00
48008,506,2,0.00
48009,506,6,0.01
48017,506,9,0.02
48023,506,4,0.01
48024,506,1,0.00
48025,506,1,0.00
48026,506,1,0.00
48027,506,1,0.00
48029,506,5,0.01
48035,506,8,0.02
48036,506,8,0.02
48037,506,8,0.02
48043,506,6,0.01
48047,506,1,0.00
48048,506,1,0.00
48051,506,1,0.00
48052,506,2,0.00
48053,506,4,0.01
48059,11,1,0.09
48060,11,1,0.09
48061,11,1,0.09
48062,11,1,0.09
48067,11,2,0.18
48068,11,1,0.09
48069,11,2,0.18
48136,58,5,0.09
48137,58,5,0.09
48138,58,5,0.09
48139,58,5,0.09
48140,58,5,0.09
48141,58,5,0.09
48160,58,2,0.03
48161,58,2,0.03
48162,58,2,0.03
48163,58,2,0.03
48168,58,4,0.07
48169,58,4,0.07
48180,58,1,0.02
48181,58,1,0.02
48182,58,2,0.03
48194,7,1,0.14
48195,7,1,0.14
48238,2,1,0.50
48240,2,1,0.50
48249,4,1,0.25
48250,4,1,0.25
48272,85,37,0.44
48273,85,37,0.44
48274,85,37,0.44
48275,85,37,0.44
48276,85,37,0.44
48277,85,37,0.44
48278,85,37,0.44
48279,85,37,0.44
48280,85,37,0.44
48281,85,37,0.44
48282,85,37,0.44
48283,85,37,0.44
48284,85,37,0.44
48285,85,37,0.44
48286,85,37,0.44
48287,85,37,0.44
48288,85,37,0.44
48289,85,37,0.44
48290,85,37,0.44
48291,85,37,0.44
48292,85,37,0.44
48293,85,37,0.44
48294,85,41,0.48
48295,85,40,0.47
48296,85,41,0.48
48297,85,40,0.47
48298,85,41,0.48
48299,85,37,0.44
48300,85,37,0.44
48301,85,37,0.44
48302,85,37,0.44
48303,85,37,0.44
48304,85,37,0.44
48305,85,37,0.44
48306,85,37,0.44
48309,85,35,0.41
48310,85,35,0.41
48311,85,35,0.41
48312,85,35,0.41
48313,85,35,0.41
48314,85,35,0.41
48315,85,35,0.41
48316,85,35,0.41
48317,85,35,0.41
48318,85,35,0.41
48319,85,35,0.41
48320,85,35,0.41
48321,85,35,0.41
