change_id,num_change,ccfinder,cloneworks,conqat,deckard,duplo,iclones,nicad5,simcad,simian
43338,4,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43339,4,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43350,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43351,2,0.00,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00
43352,2,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
43353,2,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
43354,2,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
43355,2,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
43364,6,0.00,0.33,0.83,0.00,0.00,0.00,0.00,0.00,0.00
43365,7,0.14,0.00,0.71,0.14,0.00,0.00,0.00,0.00,0.00
43366,4,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
43368,4,0.75,0.75,0.00,0.50,0.00,0.00,0.00,0.75,0.00
43369,3,0.00,1.00,0.00,0.67,0.00,0.00,0.00,1.00,0.00
43370,4,0.50,0.75,0.00,0.75,0.00,0.00,0.00,0.75,0.00
43371,3,0.67,1.00,0.00,0.67,0.00,0.00,0.00,1.00,0.00
43373,3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43374,3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43404,1,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00
43421,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43422,1,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
43423,1,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
43424,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43425,2,1.00,0.00,0.50,0.00,0.00,1.00,0.00,0.00,0.50
43430,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43454,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43463,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
43473,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43475,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43476,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
43478,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
43483,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
43509,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43513,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43548,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
43549,4,0.25,1.00,0.25,0.00,0.00,0.00,1.00,1.00,0.00
43550,4,0.25,1.00,0.25,0.00,0.00,0.00,1.00,1.00,0.00
43551,4,1.00,1.00,0.75,0.00,0.00,1.00,1.00,1.00,0.75
43552,3,1.00,1.00,1.00,0.00,0.00,0.33,1.00,0.00,0.33
43553,3,0.33,1.00,0.33,0.00,0.00,0.33,1.00,0.00,0.33
43554,3,0.33,1.00,0.33,0.00,0.00,0.33,1.00,0.00,0.33
43555,3,0.33,1.00,0.00,0.00,0.00,0.33,1.00,0.00,0.00
43560,2,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43561,2,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43564,3,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43565,3,0.00,0.33,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43566,3,0.00,0.33,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43567,12,1.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
43568,12,1.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
43569,12,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43570,12,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43571,8,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43572,8,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43573,8,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43574,8,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43575,10,0.80,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00
43576,10,0.80,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00
43577,8,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43578,8,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43579,14,0.86,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00
43580,14,0.86,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00
43581,12,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43582,12,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43584,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43607,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43608,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43609,1,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43624,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43625,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43626,4,0.00,0.75,0.00,0.25,0.00,0.00,0.00,0.00,0.00
43627,4,0.00,0.75,0.00,0.25,0.00,0.00,0.00,0.00,0.00
43630,3,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43633,2,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43634,8,0.25,0.00,0.38,0.75,0.00,0.13,0.00,0.00,0.13
43635,4,0.50,0.50,0.75,0.25,0.00,0.00,0.00,0.25,0.25
43636,5,0.40,0.00,0.60,0.80,0.00,0.20,0.00,0.00,0.20
43637,4,0.50,0.50,0.75,0.00,0.00,0.00,0.00,0.25,0.25
43640,3,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43641,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43642,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43647,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43664,5,0.00,0.00,0.20,0.80,0.00,0.20,0.00,0.00,0.00
43665,1,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00
43666,4,0.75,0.75,0.00,1.00,0.00,0.50,0.00,0.00,0.00
43667,4,0.75,0.75,0.00,1.00,0.00,0.50,0.00,0.00,0.00
43668,4,0.75,0.75,0.00,1.00,0.00,0.50,0.00,0.00,0.00
43669,4,0.75,0.75,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43670,11,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43671,4,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43672,4,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43673,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
43674,12,0.00,0.00,0.08,0.92,0.00,0.00,0.00,0.00,0.00
43675,11,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
43676,17,0.18,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00
43677,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43678,3,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43679,15,0.00,0.00,0.27,1.00,0.00,0.00,0.00,0.00,0.00
