"change_id","ccfinder","cloneworks_type1","cloneworks_type2blind","cloneworks_type3pattern","cloneworks_type3token","conqat","deckard","duplo","iclones","nicad5","simcad","simian"
"42519",,,,"42358, 42359, 42362, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42446, 42451, 42457, 42459, 42472, 42479, 42484, 42485, 42496, 42498, 42504",,,"42490",,,,,
"42520",,,,"42358, 42359, 42362, 42364, 42371, 42375, 42376, 42379, 42382, 42388, 42389, 42393, 42395, 42430, 42431, 42446, 42451, 42457, 42459, 42472, 42479, 42484, 42485, 42496, 42498, 42504",,,"42490",,,,,
"42541",,,,,,,"42542",,,,,
"42542",,"42561","42544, 42561","42544, 42548, 42554, 42561, 42575","42544, 42561, 42575",,"42553, 42554, 42555, 42578, 42579",,,,,
"42543",,,,,,,"42553, 42554, 42555",,,,,
"42544",,,"42542, 42561","42542, 42548, 42554, 42561, 42575","42542, 42561, 42575",,"42553, 42554, 42555",,,,,
"42548",,,,"42542, 42544, 42554, 42561, 42575",,,,,,,,
"42553",,,,,,,"42542, 42543, 42544",,,,,
"42554",,,,"42542, 42544, 42548, 42561, 42575",,,"42542, 42543, 42544",,,,,
"42555",,,,,,,"42542, 42543, 42544",,,,,
"42558",,,,,"42559",,,,,,"42559",
"42560",,,,,"42559",,,,,,"42559",
"42561",,"42542","42542, 42544","42542, 42544, 42548, 42554, 42575","42542, 42544, 42559, 42575",,,,,,"42559",
"42575",,,,"42542, 42544, 42548, 42554, 42561","42542, 42544, 42561",,,,,,,
"42578",,,,,,,"42542, 42579",,,,,
"42579",,,,,,,"42542, 42578",,,,,
"42596",,,,"42606, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42732, 42736",,,,,,,,
"42597",,,,,,,"42606, 42607, 42609, 42739",,,,,
"42602",,,,,,,"42738",,,,,
"42603",,,,,,,"42616, 42617, 42681, 42682",,,,,
"42604",,,,,,,"42616, 42617, 42681, 42682",,,,,
"42605",,,,,,,"42630, 42687, 42747",,,,,
"42606",,,,"42596, 42607, 42609, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42732, 42736",,,"42597, 42608, 42609",,,,,
"42607",,,,"42596, 42606, 42609, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42732, 42736",,,"42597, 42608, 42609",,,,,
"42608",,,,,,,"42606, 42607, 42609",,,,,
"42609",,,,"42596, 42606, 42607, 42616, 42617, 42620, 42639, 42653, 42658, 42659, 42660, 42681, 42682, 42692, 42702, 42708, 42712, 42713, 42723, 42725, 42726, 42731, 42732, 42736",,,"42597, 42606, 42607",,,,,
