change_id,num_change,conqat,deckard,iclones,nicad5,simcad,simian
53440,10,0.8,0,1,0.8,0.8,0.3
53441,28,0.29,0.89,0.36,0.29,0.29,0.07
53442,29,0.1,0.69,0.03,0.1,0.45,0
53443,3,1,0,0.33,1,1,0
53444,5,1,0,0,0.6,0.6,0
53445,3,0,0,0,1,1,0
53452,14,0,1,0,0,0,0
53464,7,0,1,0,0,0,0
53466,2,1,0,0,0,0,0
53473,2,0,1,0,0,0,0
53474,17,0.24,0.76,0,0,0,0
53475,6,0.17,1,0,0,0.17,0
53480,1,0,1,0,0,0,0
53484,3,0,1,0,0,1,0
53485,3,0,1,0,0,1,0
53486,3,0,1,0,0,1,0
53487,3,0,1,0,0,1,0
53500,1,0,0,0,0,1,0
53501,1,0,0,0,0,1,0
53505,3,0,1,0,0,0,0
53506,10,0.3,0.9,0,0,0,0
53508,1,0,1,0,0,0,0
53509,7,0.86,0.14,0.86,0.86,0,0
53510,7,0.86,0.14,0.86,0.86,0.29,0
53511,10,0.6,0.8,0.6,0.6,0.2,0.2
53512,8,0,1,0,0,0,0
53513,11,0.55,0.73,0.27,0.55,0,0
53514,11,0.55,0.73,0.27,0.55,0.18,0
53515,18,0.33,0.83,0.22,0.33,0.11,0.11
53516,18,0.39,0.83,0.17,0.33,0,0
53517,18,0.39,0.83,0.17,0.33,0,0
53518,13,0.54,0.77,0.31,0.46,0,0.15
53523,23,0.04,1,0,0,0,0
53526,12,0,1,0,0,0,0
53527,6,0,1,0,0,0,0
53528,3,0,0,0,0,1,0
53529,3,0,1,0,0,0,0
53534,1,0,1,0,0,0,0
53538,16,0.06,1,0,0,0,0
53551,2,0,1,0,0,0,0
53553,1,0,1,0,0,0,0
53557,7,0,1,0,0,0,0
53558,8,0,1,0,0,0,0
53559,8,0,1,0,0,0,0
53565,3,0,1,0,0,0,0
53566,3,0,1,0,0,0,0
53567,3,0,1,0,0,0,0
53568,3,0,1,0,0,0,0
53572,4,0,1,0,0,0,0
53573,9,0,1,0,0,0,0
53574,9,0,1,0,0,0,0
53575,7,0,1,0,0,0,0
53591,2,0,1,0,0,0,0
53593,1,1,0,0,1,1,0
53594,1,1,0,0,1,1,0
53597,1,0,1,0,0,0,0
53598,1,0,1,0,0,0,0
53606,1,0,1,0,0,0,0
53615,2,0,1,0,0,0,0
53625,2,0,0,0,0,1,0
53629,1,0,1,0,0,0,0
53630,11,0,1,0,0,0,0
53633,7,0,1,0,0,0,0
53641,2,0,1,0,0,0,0
53643,14,0,1,0,0,0,0
53645,10,0,1,0,0,0,0
53646,10,0,1,0,0,0,0
53647,20,0,1,0,0,0,0
53648,23,0.22,0.65,0,0.26,0.39,0
53649,23,0.22,0.65,0.22,0.26,0.39,0.04
53650,10,0.5,0.4,0.5,0.6,0.9,0.4
53651,30,0.17,0.87,0.17,0.2,0.3,0.13
53652,31,0.16,0.87,0.16,0.19,0.29,0.13
53653,30,0.17,0.77,0.17,0.2,0.3,0.13
53654,35,0.06,0.89,0,0,0.34,0
53655,20,0,0.6,0,0,0.6,0
53656,15,0,0.27,0,0,0.8,0
53657,11,0.09,0.36,0,0.55,0.82,0
